FecMatricula	CodClaseMat	FecTramitacion	MarcaItv	ModeloItv	CodProcedenciaItv	BastidorItv	CodTipo	CodPropulsionItv	CilindradaItv	PotenciaItv	Tara	PesoMax	NumPlazasItv	IndPrecinto	IndEmbargo	NumTransmisiones	NumTitulares	LocalidadVehiculo	CodProvinciaVeh	CodProvinciaMat	ClaveTramite	FecTramite	CodigoPostal	FecPrimMatriculacion	IndNuevoUsado	PersonaFisicaJuridica	CodigoItv	Servicio	CodMunicipioIneVeh	Municipio	KwItv	NumPlazasMax	Co2Itv	Renting	CodTutela	CodPosesion	IndBajaDef	IndBajaTemp	IndSustraccion	BajaTelematica	TipoItv	VarianteItv	VersionItv	FabricanteItv	MasaOrdenMarchaItv	MasaMáximaTecnicaAdmisibleItv	CategoríaHomologaciónEuropeaItv	Carroceria	PlazasPie	NivelEmisionesEuroItv	ConsumowhKmItv	ClasificaciónReglamentoVehiculosItv	CategoríaVehículoEléctrico	AutonomíaVehículoEléctrico	MarcaVehículoBase	FabricanteVehículoBase	TipoVehículoBase	VarianteVehículoBase	VersiónVehículoBase	DistanciaEjes12Itv	ViaAnteriorItv	ViaPosteriorItv	TipoAlimentacionItv	ContraseñaHomologacionItv	EcoInnovacionItv	ReduccionEcoItv	CodigoEcoItv	FecProceso	TipoProceso
20/07/2006	Ciclomotor		APRILIA	SONIC 50	ImportaciónUE	ZD4TLA0086S000646	90	Gasolina	49	1,00	87	87	2			0	1		A	A	3	01/12/2014	3690		N	D		Particular PART-Sin especificar	3122	SAN VICENTE RASPEIG	2,50	2			S		De oficio por abandono			En desguace		A			0	0			0	EURO II	0									0	0	0						01/12/2014	bajas
30/07/2009	Ordinaria	01/12/2014	FORD	FOCUS	ImportaciónUE	WF0PXXWPDP9U62527	40	Diesel	1753	12,30	1316	1950	5			1	1		MA	MA	6	01/12/2014	29640		N	D	FOR6VB2L	Particular PART-Sin especificar	29054	FUENGIROLA	0,00	5		N								KKDA1P (MAN)			1391	1950			0	EURO 4	0	1000								0	0	0						01/12/2014	bajas
29/12/1988	Ordinaria	10/10/2014	NISSAN	VANETTE	FabricaciónNacional	VSKBEC220U0974173	21	Diesel	1952	13,00	1310	2000	2			4	1		B	B	3	01/12/2014	8203		N	X		Particular PART-Sin especificar	8187	SABADELL		5		N			Voluntaria			En desguace					0	0			0		0									0	0	0						01/12/2014	bajas
29/07/1999	Ordinaria	01/12/2014	AUDI	A3 1.8	ImportaciónUE	WAUZZZ8LZXA065648	40	Gasolina	1781	12,42	1180	1740	5			6	1	AS PALLAS CARBALLO	C	BA	6	01/12/2014	15108		N	D		Particular PART-Sin especificar	15019	CARBALLO	0,00	5		N											0	0			0	EURO 2	0	1000								0	0	0						01/12/2014	bajas
22/03/1996	Ordinaria	20/11/2014	RENAULT	R. CLIO 1.2	FabricaciónNacional	VF1B5770514540804	40	Gasolina	1239	9,98	845	1260	5			2	1		BI	BI	3	01/12/2014	48300		N	D		Particular PART-Sin especificar	48046	GERNIKA-LUMO	0,00	5		N			Voluntaria			En desguace					0	0			0	EURO 1	0	1000								0	0	0						01/12/2014	bajas
13/06/2003	Ordinaria	17/12/2014	SEAT	IBIZA II 1.4	FabricaciónNacional	VSSZZZ6LZ3R213868	40	Gasolina	1390	10,70	1057	1552	5			5	1	LA ?ORA	MU	MU	6	01/12/2014	30830		N	D	SEA4363A	Particular PART-Sin especificar	30030	MURCIA	0,00	5		N											0	0			0	EURO 3	0	1000								0	0	0						01/12/2014	bajas
23/02/1995	Ordinaria	19/02/1996	OPEL	ASTRA	ImportaciónNoComunitaria	W0L000058S2645382	40	Gasolina	1389	10,69	1023	1455	5			2	1		B	B	3	01/12/2014	8940		N	D		Particular PART-Sin especificar	8073	CORNELLA DE LLOB	0,00	5					Voluntaria			En desguace					0	0			0	EURO 1	0	1000								0	0	0						01/12/2014	bajas
29/11/1996	Ordinaria		OPEL	VECTRA-B-CC	ImportaciónUE	W0L000038V5044474	40	Diesel	1686	12,01	1305	1835	5			0	1		Z	Z	3	01/12/2014	50510		N	D		Particular PART-Sin especificar	50190	NOVALLAS	0,00	5					Voluntaria			En desguace					0	0			0	EURO 1	0	1000								0	0	0						01/12/2014	bajas
08/11/2004	Ordinaria	11/03/2005	FIAT	PUNTO	ImportaciónUE	ZFA18800004771444	40	Gasolina	1368	10,60	960	1470	5			2	1	AGUADULCE	AL	M	6	01/12/2014	4720		N	D	FIA07175	Particular PART-Sin especificar	4079	ROQUETAS DE MAR	0,00	5				S		S							0	0			0	EURO 3	0	1000								0	0	0						01/12/2014	bajas
29/07/1999	Ordinaria	11/02/2009	RENAULT	LAGUNA	ImportaciónUE	VF1B56J0520813335	40	Diesel	1870	12,78	1310	1900	5			1	1		A	A	3	01/12/2014	3420		N	D		Particular PART-Sin especificar	3053	CASTALLA	0,00	5					Voluntaria			En desguace					0	0			0	EURO 2	0	1000								0	0	0						01/12/2014	bajas
