FecMatricula	CodClaseMat	FecTramitacion	MarcaItv	ModeloItv	CodProcedenciaItv	BastidorItv	CodTipo	CodPropulsionItv	CilindradaItv	PotenciaItv	Tara	PesoMax	NumPlazasItv	IndPrecinto	IndEmbargo	NumTransmisiones	NumTitulares	LocalidadVehiculo	CodProvinciaVeh	CodProvinciaMat	ClaveTramite	FecTramite	CodigoPostal	FecPrimMatriculacion	IndNuevoUsado	PersonaFisicaJuridica	CodigoItv	Servicio	CodMunicipioIneVeh	Municipio	KwItv	NumPlazasMax	Co2Itv	Renting	CodTutela	CodPosesion	IndBajaDef	IndBajaTemp	IndSustraccion	BajaTelematica	TipoItv	VarianteItv	VersionItv	FabricanteItv	MasaOrdenMarchaItv	MasaMáximaTecnicaAdmisibleItv	CategoríaHomologaciónEuropeaItv	Carroceria	PlazasPie	NivelEmisionesEuroItv	ConsumowhKmItv	ClasificaciónReglamentoVehiculosItv	CategoríaVehículoEléctrico	AutonomíaVehículoEléctrico	MarcaVehículoBase	FabricanteVehículoBase	TipoVehículoBase	VarianteVehículoBase	VersiónVehículoBase	DistanciaEjes12Itv	ViaAnteriorItv	ViaPosteriorItv	TipoAlimentacionItv	ContraseñaHomologacionItv	EcoInnovacionItv	ReduccionEcoItv	CodigoEcoItv	FecProceso	TipoProceso
19/01/2018	VehículoEspecial		MASSEY-FERGUSON	MF47094RM	ImportaciónUE	TABMC060CE5357017	80	Diesel	3298	16,02	0	6200	1			0	1		L	L	1	19/01/2018	25186		N	D		Particular PART-Agrícola	25125	LLARDECANS	68,00	1		N								E62?22KU34?A	-----	AGCO INTERNATIONAL GMBH	4000	6200	T1		0	ND	0	5000		000000						2250	1895	1850	M		N			19/01/2018	matriculas
19/01/2018	Ordinaria		VOLKSWAGEN	TIGUAN	ImportaciónUE	WVGZZZ5NZJW881564	40	Gasolina	1395	10,72	0	2070	5			0	1	RIERA DE GAIA, LA	T	HU	1	19/01/2018	43762		N	D	VW01261V	Particular PART-Sin especificar	43126	LA RIERA DE GAIA	110,00	5	132	N								ACDJVAX0	FM6FM62Q036KN5R3TVR27MM63	VOLKSWAGEN AG BERLINER RING 2	1490	2070	M1	AC	0	EURO 6W	0	1000		000000						2677	1589	1580	M		N	0		19/01/2018	matriculas
19/01/2018	Ordinaria		VOLKSWAGEN	TIGUAN	ImportaciónUE	WVGZZZ5NZJW872351	40	Diesel	1968	13,19	0	2120	5			0	1		CS	CS	1	19/01/2018	12200		N	D	VW0125MV	Particular PART-Sin especificar	12084	ONDA	110,00	5	123	N								ACDFGAX0	FM6FM6BB005KN5N2TVR27MM62	VOLKSWAGEN AG BERLINER RING 2	1574	2120	M1	AC	0	EURO 6W	0	1000		000000						2677	1589	1580	M		N	0		19/01/2018	matriculas
19/01/2018	Ordinaria		HYUNDAI	TUCSON,IX35	ImportaciónUE	TMAJ3815AHJ296441	40	Diesel	1685	12,01	0	2000	5			0	1		CE	CE	1	19/01/2018	51002		N	D		Particular PART-Sin especificar	51001	CEUTA	85,00	5	119	N								F5D51	M66ZZ1	HYUNDAI MOTOR MANUFACTURING CZECH	1500	2000	M1	AF	0	EURO 6 W	0	1000		000000						2670	1604	1615	M			0		19/01/2018	matriculas
19/01/2018	Ordinaria		AUDI	Q2	ImportaciónUE	WAUZZZGA0JA041141	40	Diesel	1598	11,64	0	1870	5			0	1		B	B	1	19/01/2018	8256		N	X	AUD0139E	Particular PART-Sin especificar	8178	RAJADELL	85,00	5	118	S								XDDYAF1	FM6FM62S033PGA057MMEM1HA0	AUDI AG	1385	1870	M1	AC	0	EURO 6W	0	1000		000000						2587	1557	1577	M		N	0		19/01/2018	matriculas
19/01/2018	Ordinaria		MERCEDES-BENZ	V 220 D	ImportaciónUE	WDF44781313382901	0G	Diesel	2143	13,88	0	3100	8			0	1		B	B	1	19/01/2018	8760		N	X		Particular PART-Sin especificar	8114	MARTORELL	120,00	8	154	N								KLA3L310N	2FKT7T28BE	DAIMLER AG	2105	3100	M1	AF	0	EURO6W	0	3100		000000						3200	1666	1646	M					19/01/2018	matriculas
19/01/2018	Ordinaria		VOLKSWAGEN	GOLF	ImportaciónUE	WVWZZZAUZFW183991	40	Diesel	1598	11,64	1246	1820	5			0	1		BA	BA	1	19/01/2018	6468	10/12/2014	U	D		Particular PART-Sin especificar	6075	MAGACELA	81,00	5	99	N								GAC4CXXBX0	FM5FM5A4051N7MMON1VL00VR2	VOLKSWAGEN AG	1321	1820	M1	AC	0	EURO 6W	0	1002		000000						2620	1537	1496	M		N	0		19/01/2018	matriculas
19/01/2018	Ordinaria	26/01/2018	VOLKSWAGEN	GOLF SPORTSVAN	ImportaciónUE	WVWZZZAUZEP580899	40	Diesel	1968	13,19	0	1990	5			1	1	SANT ADRIA DE BESOS	B	GI	1	19/01/2018	8930	06/05/2014	U	D		Particular PART-Sin especificar	8194	S ADRIA DE BESOS	110,00	5	119	N								VACCRBCX0	FD6FD6D900	VOLKSWAGEN AG BERLINER RING 2	1454	1990	M1	AC	0	EURO V	0	1000		000000						2620	1533	1502	M		N			19/01/2018	matriculas
19/01/2018	Ordinaria		AUDI	Q3	ImportaciónUE	WAUZZZ8U8ER063789	40	Diesel	1968	13,19	0	2045	5			0	1		H	H	1	19/01/2018	21400	12/03/2014	U	X		Particular PART-Sin especificar	21010	AYAMONTE	103,00	5	137	N								XCFFBF1	FM6BB002R8U617MJEM1	AUDI AG	1520	2045	M1	AC	0	EURO 5J	0	1000		000000						2601	1553	1575	M		N			19/01/2018	matriculas
19/01/2018	Ordinaria		SEAT	LEON	ImportaciónUE	VSSZZZ5FZJR015051	40	Diesel	1598	11,64	0	1810	5			0	1	MERIDA	BA	BA	1	19/01/2018	6800		N	D	SEA008V2	Particular PART-Sin especificar	6083	MERIDA	85,00	5	105	N								BDDYAX0V	FM5SFM5A40517MMVLO561	SEAT,S.A.	1260	1810	M1	AC	0	EURO 6W	0	1000		000000						2618	1549	1520	M		N	0		19/01/2018	matriculas
